,Название программы,Название вуза,Город,Направление,Уровень,Язык обучения,Продолжительность,Форма обучения,Возможность бесплатного обучения,Стоимость обучения,Где проходит обучение,Ссылка
1844,Прикладная математика и информатика,ННГУ,Нижний Новгород,Математика и механика,бакалавриат,русский,"4/ 5,5 года                                            ","очная, очно-заочная",есть,12250058600,Дзержинск                                            ,https://studyinrussia.ru/study-in-russia/programs/10028-prikladnaya-matematika-i-informatika/info/
1845,Прикладная математика и информатика,ЮУрГУ,Челябинск,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,126900,Челябинск ,https://studyinrussia.ru/study-in-russia/programs/232512-prikladnaya-matematika-i-informatika/info/
1846,Прикладная математика и информатика,ПетрГУ,Петрозаводск,Математика и механика,магистратура,русский,2 года                                            ,очная,нет,168000,Петрозаводск ,https://studyinrussia.ru/study-in-russia/programs/9546-prikladnaya-matematika-i-informatika/info/
1847,Прикладная математика и информатика,ПетрГУ,Петрозаводск,Математика и механика,бакалавриат,русский,4 года                                            ,очная,нет,157500,Петрозаводск ,https://studyinrussia.ru/study-in-russia/programs/9563-prikladnaya-matematika-i-informatika/info/
1848,Прикладная математика и информатика,ДВФУ,Владивосток,Математика и механика,магистратура,русский,2 года                                            ,очная,есть,250000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9568-prikladnaya-matematika-i-informatika/info/
1849,Прикладная математика и информатика,ДВФУ,Владивосток,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,180000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/306017-prikladnaya-matematika-i-informatika/info/
1850,Прикладная математика и информатика,СПбПУ,Санкт-Петербург,Математика и механика,магистратура,русский,2 года                                            ,очная,есть,209000218400,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13461-prikladnaya-matematika-i-nformatika/info/
1851,Прикладная математика и информатика,ННГУ,Нижний Новгород,Математика и механика,магистратура,русский,2 года                                            ,очная,есть,132500,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/10158-prikladnaya-matematika-i-informatika/info/
1852,Прикладная математика и информатика,СПбПУ,Санкт-Петербург,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,198000207000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13231-prikladnaya-matematika-i-informatika/info/
1853,Прикладная математика и информатика,КФУ,Казань,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,142500,"Казань, Набережные Челны ",https://studyinrussia.ru/study-in-russia/programs/9156-prikladnaya-matematika-i-informatika/info/
1854,Прикладная математика и информатика,Университет ИТМО,Санкт-Петербург,Математика и механика,магистратура,русский,2 года                                            ,очная,есть,223000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/9924-prikladnaya-matematika-i-informatika/info/
1855,Прикладная математика и информатика,РУДН,Москва,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,2364003300,,https://studyinrussia.ru/study-in-russia/programs/36041-prikladnaya-matematika-i-informatika/info/
1856,Прикладная математика и информатика,Университет ИТМО,Санкт-Петербург,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,208000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/134103-prikladnaya-matematika-i-informatika/info/
1857,Прикладная математика и информатика,ТПУ,Томск,Математика и механика,магистратура,русский,2 года                                            ,очная,есть,2000,Томск ,https://studyinrussia.ru/study-in-russia/programs/9955-prikladnaya-matematika-i-informatika/info/
1858,Прикладная математика и информатика,ТПУ,Томск,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,1900,Томск ,https://studyinrussia.ru/study-in-russia/programs/9957-prikladnaya-matematika-i-informatika/info/
1859,Прикладная математика и информатика,КФУ,Казань,Математика и механика,магистратура,русский,2 года                                            ,"очная, очно-заочная",есть,162000,Казань ,https://studyinrussia.ru/study-in-russia/programs/14056-prikladnaya-matematika-i-informatika/info/
1860,Прикладная математика и информатика,МФТИ,Москва,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,250000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12009-prikladnaya-matematika-i-informatika/info/
1861,Прикладная математика и информатика,МИФИ,Москва,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,103200,Москва ,https://studyinrussia.ru/study-in-russia/programs/367611-prikladnaya-matematika-i-informatika/info/
1862,Прикладная математика и информатика (Бакалавриат),ЛЭТИ,Санкт-Петербург,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,190000199000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/16919-prikladnaya-matematika-i-informatika-bakalavriat/info/
1863,Прикладная математика и информатика (Магистратура),ЛЭТИ,Санкт-Петербург,Математика и механика,магистратура,русский,2 года                                            ,очная,есть,208000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/16923-prikladnaya-matematika-i-informatika-magistratura/info/
1864,Прикладная математика и информатика (Нижний Новгород),ВШЭ,Москва,Математика и механика,бакалавриат,"русский, английский",4 года                                            ,очная,есть,170000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/13064-prikladnaya-matematika-i-informatika-nizhniy-novgorod/info/
1865,Прикладная математика и информатика (Санкт-Петербург),ВШЭ,Москва,Математика и механика,бакалавриат,"русский, английский",4 года                                            ,очная,есть,390000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/255668-prikladnaya-matematika-i-informatika-sanktpeterburg/info/
1866,Прикладная международная журналистика,РУДН,Москва,Средства массовой информации и информационно-библиотечное дело,магистратура,английский,2 года                                            ,очная,есть,2300003700,Москва ,https://studyinrussia.ru/study-in-russia/programs/16360-prikladnaya-mezhdunarodnaya-zhurnalistika/info/
1867,Прикладная механика,ТГУ,Томск,Машиностроение,бакалавриат,русский,4 года                                            ,очная,нет,210300,Томск ,https://studyinrussia.ru/study-in-russia/programs/10837-vychislitelnaya-mekhanika-i-kompyuternyy-inzhiniring-ftf/info/
1868,Прикладная механика,СПбПУ,Санкт-Петербург,Машиностроение,магистратура,русский,2 года                                            ,очная,есть,224400234600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13449-prikladnaya-mekhanika/info/
1869,Прикладная механика,СПбПУ,Санкт-Петербург,Машиностроение,бакалавриат,русский,4 года                                            ,очная,есть,210200219600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13252-prikladnaya-mekhanika/info/
1870,Прикладная механика,КФУ,Казань,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,154200,Казань ,https://studyinrussia.ru/study-in-russia/programs/212432-prikladnaya-mekhanika/info/
1871,Прикладная политология,ВШЭ,Москва,Политические науки и регионоведение,магистратура,"русский, английский",2 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13101-prikladnaya-politologiya/info/
1872,Прикладная социальная психология / Applied Social psychology,ВШЭ,Москва,Психологические науки,магистратура,английский,2 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13104-prikladnaya-sotsialnaya-psikhologiya/info/
1873,Прикладная статистика с методами сетевого анализа,ВШЭ,Москва,Математика и механика,магистратура,английский,2 года                                            ,очная,нет,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13453-prikladnaya-statistika-s-metodami-setevogo-analiza/info/
1874,Прикладная теоретическая физика,МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12135-prikladnaya-teoreticheskaya-fizika/info/
1875,Прикладная экономика,ВШЭ,Москва,Экономика и управление,магистратура,"русский, английский",2 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13126-prikladnaya-ekonomika/info/
1876,Прикладная экономика,МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12118-prikladnaya-ekonomika/info/
1877,Прикладная экономика и математические методы (Санкт-Петербург),ВШЭ,Москва,Экономика и управление,магистратура,"русский, английский",2 года                                            ,очная,есть,250000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13127-prikladnaya-ekonomika-i-matematicheskie-metody-sanktpeterburg/info/
1878,Прикладная экономика и финансы,УрФУ,Екатеринбург,Экономика и управление,бакалавриат,русский,4 года                                            ,очная,есть,242600168000,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/178032-prikladnaya-ekonomika-i-finansy/info/
1879,Прикладной системный инжиниринг,МФТИ,Москва,Управление в технических системах,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/151216-prikladnoy-sistemnyy-inzhiniring/info/
1880,Прикладные вычислительные модели и программные комплексы,МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12119-prikladnye-vychislitelnye-modeli-i-programmnye-kompleksy/info/
1881,Прикладные информационные технологии в управлении в бизнесе,МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12121-prikladnye-informatsionnye-tekhnologii-v-upravlenii-v-biznese/info/
1882,Прикладные математика и физика      ,ЮУрГУ,Челябинск,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,146400,Челябинск ,https://studyinrussia.ru/study-in-russia/programs/232743-prikladnye-matematika-i-fizika-/info/
1883,Прикладные математика и физика,УрФУ,Екатеринбург,Физика и астрономия,бакалавриат,русский,4 года                                            ,очная,есть,199500159600,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/324184-prikladnye-matematika-i-fizika/info/
1884,Прикладные математика и физика ,ЮУрГУ,Челябинск,Физика и астрономия,магистратура,английский,2 года                                            ,очная,есть,160000,Челябинск ,https://studyinrussia.ru/study-in-russia/programs/263277-prikladnye-matematika-i-fizika-/info/
1885,Прикладные математика и физика,СПбПУ,Санкт-Петербург,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,224400234600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13476-prikladnye-matematika-i-fizika/info/
1886,Прикладные математика и физика,СПбПУ,Санкт-Петербург,Физика и астрономия,бакалавриат,русский,4 года                                            ,очная,есть,210200219600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13235-prikladnye-matematika-i-fizika/info/
1887,Прикладные методы социального анализа рынков,ВШЭ,Москва,Социология и социальная работа,магистратура,"русский, английский",2 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13109-prikladnye-metody-sotsialnogo-analiza-rynkov/info/
1888,Природообустройство и водопользование,ТПУ,Томск,Техносферная безопасность и природообустройство,магистратура,русский,2 года                                            ,очная,есть,2000,Томск ,https://studyinrussia.ru/study-in-russia/programs/10279-prirodoobustroystvo-i-vodopolzovanie/info/
1889,Природообустройство и водопользование,КФУ,Казань,Техносферная безопасность и природообустройство,бакалавриат,русский,4 года                                            ,"очная, заочная",есть,154200,Казань ,https://studyinrussia.ru/study-in-russia/programs/14007-prirodoobustroystvo-i-vodopolzovanie/info/
1890,Природопользование (совместно с университетами ШОС),РУДН,Москва,Науки о земле,магистратура,русский,2 года                                            ,очная,есть,2841003700,Москва ,https://studyinrussia.ru/study-in-russia/programs/56046-prirodopolzovanie-sovmestno-s-universitetami-shos/info/
1891,"Природоресурсное, земельное и экологическое право",РУДН,Москва,Юриспруденция,магистратура,русский,2 года                                            ,очная,есть,2550004000,Москва ,https://studyinrussia.ru/study-in-russia/programs/86370-prirodoresursnoe-zemelnoe-i-ekologicheskoe-pravo/info/
1892,Проблемы прочности летательных аппаратов,МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12111-problemy-prochnosti-letatelnykh-apparatov/info/
1893,Проблемы современной энергетики и экологическая безопасность,МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12130-problemy-sovremennoy-energetiki-i-ekologicheskaya-bezopasnost/info/
1894,Проблемы теоретической физики,МИФИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,155610,Москва ,https://studyinrussia.ru/study-in-russia/programs/62401-problemy-teoreticheskoy-fiziki/info/
1895,Проблемы теоретической физики,МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12031-problemy-teoreticheskoy-fiziki/info/
1896,Программа STEP по изучению нефти и газа ,ТюмГУ,Тюмень,,,английский,1 семестр                                            ,,есть,,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/72657-programma-step-po-izucheniyu-nefti-i-gaza-/info/
1897,Программа STEP по изучению нефти и газа (летняя школа) ,ТюмГУ,Тюмень,,,,1 месяц                                            ,,есть,,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/72659-programma-step-po-izucheniyu-nefti-i-gaza-letnyaya-shkola-/info/
1898,Программа двух дипломов НИУ ВШЭ и Лондонского университета «Прикладной анализ данных»,ВШЭ,Москва,Математика и механика,бакалавриат,английский,4 года                                            ,очная,нет,680000,Москва ,https://studyinrussia.ru/study-in-russia/programs/406545-programma-dvukh-diplomov-niu-vshe-i-londonskogo-universiteta-prikladnoy-analiz-dannykh/info/
1899,Программа двух дипломов НИУ ВШЭ и Лондонского университета по международным отношениям,ВШЭ,Москва,Политические науки и регионоведение,бакалавриат,английский,4 года                                            ,очная,нет,720000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13175-sovmestnaya-programma-niu-vshe-i-londonskogo-universiteta-po-mezhdunarodnym-otnosheniyam/info/
1900,Программа двух дипломов НИУ ВШЭ и Университета Кёнхи «Экономика и политика в Азии»,ВШЭ,Москва,Политические науки и регионоведение,бакалавриат,,4 года                                            ,,нет,540000,Москва ,https://studyinrussia.ru/study-in-russia/programs/139133-programma-dvukh-diplomov-niu-vshe-i-universiteta-kyenkhi-ekonomika-i-politika-v-azii/info/
1901,Программа двух дипломов НИУ ВШЭ и Университета Кёнхи «Экономика и политика в Азии»,ВШЭ,Москва,,бакалавриат,английский,4 года                                            ,очная,нет,550000,Москва ,https://studyinrussia.ru/study-in-russia/programs/139135-programma-dvukh-diplomov-niu-vshe-i-universiteta-kyenkhi-ekonomika-i-politika-v-azii/info/
1902,Программа двух дипломов по экономике НИУ ВШЭ и Лондонского университета,ВШЭ,Москва,Экономика и управление,бакалавриат,английский,4 года                                            ,очная,нет,880000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13077-programma-dvukh-diplomov-po-ekonomike-niu-vshe-i-londonskogo-universiteta/info/
1903,Программа краткосрочных стажировок,МФТИ,Москва,,,английский,1 месяц                                            ,очная,нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/9241-programma-kratkosrochnykh-stazhirovok/info/
1904,Программа повышение квалификации «Экспертиза временной нетрудоспособности»,МГМУ,Москва,,,русский,72 часа                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16549-programma-povyshenie-kvalifikatsii-ekspertiza-vremennoy-netrudosposobnosti/info/
1905,Программа повышения квалификации «Вопросы клинической диабетологии»,МГМУ,Москва,,,русский,144 часа                                            ,"очная, заочная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16559-programma-povysheniya-kvalifikatsii-voprosy-klinicheskoy-diabetologii/info/
1906,Программа повышения квалификации «Неотложная кардиология»,МГМУ,Москва,,,русский,288 часов                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16554-programma-povysheniya-kvalifikatsii-neotlozhnaya-kardiologiya/info/
1907,Программа повышения квалификации «Поражения почек в практике клинициста»,МГМУ,Москва,,,русский,144 часа                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16552-programma-povysheniya-kvalifikatsii-porazheniya-pochek-v-praktike-klinitsista/info/
1908,Программа повышения квалификации «Принципы остеопатической диагностики в мануальной терапии»,МГМУ,Москва,,,русский,144 часа                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16510-programma-povysheniya-kvalifikatsii-printsipy-osteopaticheskoy-diagnostiki-v-manualnoy-terapii/info/
1909,Программа повышения квалификации «Психиатрия»,МГМУ,Москва,,,русский,288 часов                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16555-programma-povysheniya-kvalifikatsii-psikhiatriya/info/
1910,Программа повышения квалификации «Психосоматические расстройства»,МГМУ,Москва,,,русский,216 часов                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16545-programma-povysheniya-kvalifikatsii-psikhosomaticheskie-rasstroystva/info/
1911,Программа повышения квалификации «Ревматология»,МГМУ,Москва,,,русский,144 часа                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16556-programma-povysheniya-kvalifikatsii-revmatologiya/info/
1912,Программа повышения квалификации «Современная организация лекарственного обеспечения населения»,МГМУ,Москва,,,русский,144 часа                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16553-programma-povysheniya-kvalifikatsii-sovremennaya-organizatsiya-lekarstvennogo-obespecheniya-naseleniya/info/
1913,Программа повышения квалификации «Терапия»,МГМУ,Москва,,,русский,144 часа                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16551-programma-povysheniya-kvalifikatsii-terapiya/info/
1914,Программа повышения квалификации «Травматология и ортопедия»,МГМУ,Москва,,,русский,144 часа                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16557-programma-povysheniya-kvalifikatsii-travmatologiya-i-ortopediya/info/
1915,Программа повышения квалификации «Ультразвуковая диагностика»,МГМУ,Москва,,,русский,288 часов                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16558-programma-povysheniya-kvalifikatsii-ultrazvukovaya-diagnostika/info/
1916,Программа предвузовской подготовки для обучения на бакалавриате (2 семестра),ННГУ,Нижний Новгород,,,русский,2 семестра                                            ,очная,есть,125000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/9201-antropologiya-i-etnologiya/info/
1917,Программа предвузовской подготовки для обучения на бакалавриате (3 семестра),ННГУ,Нижний Новгород,,,русский,3 семестра                                            ,очная,есть,170000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/9203-religiovedenie/info/
1918,Программа предвузовской подготовки для обучения на магистратуре (2 семестра),ННГУ,Нижний Новгород,,,русский,2 семестра                                            ,очная,есть,125000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/9202-programma-predvuzovskoy-podgotovki-v-magistraturu-2-semestra/info/
1919,Программа предвузовской подготовки для обучения на магистратуре (3 семестра),ННГУ,Нижний Новгород,,,русский,3 семестра                                            ,очная,есть,170000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/9204-teologiya/info/
1920,"Программа предвузовской подготовки для обучения на специалитете (медико-биологический профиль, 2 семестра)",ННГУ,Нижний Новгород,,,русский,2 семестра                                            ,очная,нет,137000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/411922-programma-predvuzovskoy-podgotovki-dlya-obucheniya-na-spetsialitete-medikobiologicheskiy-profil-2-semestra/info/
1921,"Программа предвузовской подготовки для обучения на специалитете (медико-биологический профиль, 3 семестра)",ННГУ,Нижний Новгород,,,русский,3 семестра                                            ,очная,нет,182000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/411928-programma-predvuzovskoy-podgotovki-dlya-obucheniya-na-spetsialitete-medikobiologicheskiy-profil-2-semestra/info/
1922,Программа профессиональной переподготовки по специальности «Анестезиология и реаниматология»,МГМУ,Москва,,,русский,504 часа                                            ,"очная, дистанционная",нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16493-programma-professionalnoy-perepodgotovki-po-spetsialnosti-anesteziologiya-i-reanimatologiya/info/
1923,Программирование и анализ данных (Санкт-Петербург),ВШЭ,Москва,Математика и механика,магистратура,русский,2 года                                            ,очная,нет,300000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/255734-programmirovanie-i-analiz-dannykh-sanktpeterburg/info/
1924,Программная инженерия,ТПУ,Томск,Информатика и вычислительная техника,бакалавриат,русский,4 часа                                            ,очная,есть,2900,Томск ,https://studyinrussia.ru/study-in-russia/programs/9987-programmnaya-inzheneriya/info/
1925,Программная инженерия,ВШЭ,Москва,Информатика и вычислительная техника,бакалавриат,"русский, английский",4 года                                            ,очная,есть,550000,Москва ,https://studyinrussia.ru/study-in-russia/programs/14104-programmnaya-inzheneriya/info/
1926,Программная инженерия,ННГУ,Нижний Новгород,Информатика и вычислительная техника,бакалавриат,русский,4 года                                            ,очная,есть,140000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/10030-programmnaya-inzheneriya/info/
1927,Программная инженерия,ПетрГУ,Петрозаводск,Физико-технические науки и технологии,бакалавриат,русский,4 года                                            ,очная,нет,157500,Петрозаводск ,https://studyinrussia.ru/study-in-russia/programs/150589-programmnaya-inzheneriya/info/
1928,Программная инженерия,ДВФУ,Владивосток,Информатика и вычислительная техника,бакалавриат,русский,4 года                                            ,очная,есть,200000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/305229-programmnaya-inzheneriya/info/
1929,Программная инженерия ,ЮУрГУ,Челябинск,Информатика и вычислительная техника,магистратура,русский,2 года                                            ,очная,есть,155900,Челябинск ,https://studyinrussia.ru/study-in-russia/programs/232831-programmnaya-inzheneriya-/info/
1930,Программная инженерия,ТГУ,Томск,Компьютерные и информационные науки,бакалавриат,английский,4 года                                            ,очная,нет,315450,Томск ,https://studyinrussia.ru/study-in-russia/programs/12173-programmnaya-inzheneriya-finf/info/
1931,Программная инженерия,СПбПУ,Санкт-Петербург,Информатика и вычислительная техника,магистратура,русский,2 года                                            ,очная,есть,224400234600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13486-programmnaya-inzheneriya/info/
1932,Программная инженерия,СФУ,Красноярск,Информатика и вычислительная техника,бакалавриат,русский,4 года                                            ,очная,есть,170622,Красноярск ,https://studyinrussia.ru/study-in-russia/programs/16047-programmnaya-inzheneriya/info/
1933,Программная инженерия,УрФУ,Екатеринбург,Информатика и вычислительная техника,бакалавриат,русский,4 года                                            ,очная,есть,199500159600,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/318130-programmnaya-inzheneriya/info/
1934,Программная инженерия,КФУ,Казань,Информатика и вычислительная техника,бакалавриат,русский,4 года                                            ,очная,есть,154200,"Казань, Набережные Челны ",https://studyinrussia.ru/study-in-russia/programs/14004-programmnaya-inzheneriya/info/
1935,Программная инженерия,СПбПУ,Санкт-Петербург,Информатика и вычислительная техника,бакалавриат,русский,4 года                                            ,очная,есть,210200219600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13241-programmnaya-inzheneriya/info/
1936,Программная инженерия,Университет ИТМО,Санкт-Петербург,Информатика и вычислительная техника,магистратура,"русский, английский",2 года                                            ,очная,есть,239000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/9928-programmnaya-inzheneriya/info/
1937,Программная инженерия,Университет ИТМО,Санкт-Петербург,Информатика и вычислительная техника,бакалавриат,русский,4 года                                            ,очная,есть,224000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/134349-programmnaya-inzheneriya/info/
1938,Программная инженерия,ЮУрГУ,Челябинск,Информатика и вычислительная техника,бакалавриат,русский,4 года                                            ,очная,есть,146400,Челябинск ,https://studyinrussia.ru/study-in-russia/programs/232924-programmnaya-inzheneriya/info/
1939,Программная инженерия,ДВФУ,Владивосток,Информатика и вычислительная техника,магистратура,русский,2 года                                            ,очная,есть,275000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9703-programmnaya-inzheneriya/info/
1940,Программная инженерия,КФУ,Казань,Информатика и вычислительная техника,магистратура,"русский, английский",2 года                                            ,очная,есть,173400282000,Казань ,https://studyinrussia.ru/study-in-russia/programs/14071-programmnaya-inzheneriya/info/
1941,Программная инженерия (Бакалавриат),ЛЭТИ,Санкт-Петербург,Информатика и вычислительная техника,бакалавриат,русский,4 года                                            ,очная,есть,190000199000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/16918-programmnaya-inzheneriya-bakalavriat/info/
1942,Программная инженерия (Магистратура),ЛЭТИ,Санкт-Петербург,Информатика и вычислительная техника,магистратура,русский,2 года                                            ,очная,есть,208000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/16922-programmnaya-inzheneriya-magistratura/info/
1943,Программная инженерия (Нижний Новгород),ВШЭ,Москва,Информатика и вычислительная техника,бакалавриат,"русский, английский",4 года                                            ,очная,есть,170000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/13058-programmnaya-inzheneriya-nizhniy-novgorod/info/
1944,Программная инженерия (Пермь),ВШЭ,Москва,Информатика и вычислительная техника,бакалавриат,"русский, английский",4 года                                            ,очная,есть,170000,Пермь ,https://studyinrussia.ru/study-in-russia/programs/13059-programmnaya-inzheneriya-perm/info/
1945,Программное обеспечение вычислительной техники и автоматизированных систем,СФУ,Красноярск,Информатика и вычислительная техника,магистратура,русский,2 года                                            ,очная,есть,181856,Красноярск ,https://studyinrussia.ru/study-in-russia/programs/16030-programmnoe-obespechenie-vychislitelnoy-tekhniki-i-avtomatizirovannykh-sistem/info/
1946,Продвинутая комбинаторика,МФТИ,Москва,Физика и астрономия,магистратура,английский,2 года                                            ,очная,есть,400000,Москва ,https://studyinrussia.ru/study-in-russia/programs/10891-prodvinutaya-kombinatorika/info/
1947,Продвинутая комбинаторика,МФТИ,Москва,Математика и механика,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/194246-prodvinutaya-kombinatorika/info/
1948,Продукты питания животного происхождения,Университет ИТМО,Санкт-Петербург,Промышленная экология и биотехнологии,магистратура,"русский, английский",2 года                                            ,очная,есть,239000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/9945-produkty-pitaniya-zhivotnogo-proiskhozhdeniya/info/
1949,Продукты питания животного происхождения,ДВФУ,Владивосток,Промышленная экология и биотехнологии,магистратура,русский,2 года                                            ,очная,есть,275000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9709-produkty-pitaniya-zhivotnogo-proiskhozhdeniya/info/
1950,Продукты питания из растительного сырья,Университет ИТМО,Санкт-Петербург,Промышленная экология и биотехнологии,магистратура,"русский, английский",2 года                                            ,очная,есть,239000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/9944-produkty-pitaniya-iz-rastitelnogo-syrya/info/
1951,Продукты питания из растительного сырья ,ЮУрГУ,Челябинск,Промышленная экология и биотехнологии,бакалавриат,русский,4  года                                            ,очная,есть,146400,Челябинск ,https://studyinrussia.ru/study-in-russia/programs/403419-produkty-pitaniya-iz-rastitelnogo-syrya-/info/
1952,Проектирование и конструирование летательных аппаратов,МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12112-proektirovanie-i-konstruirovanie-letatelnykh-apparatov/info/
1953,Проектирование и эксплуатация атомных станций,МИФИ,Москва,Ядерная энергетика и технологии,специалитет,русский,"5,5 лет                                            ",очная,есть,316290,Москва ,https://studyinrussia.ru/study-in-russia/programs/66421-proektirovanie-i-ekspluatatsiya-atomnykh-stantsiy/info/
